steps,values,std_values,n_values
0,0,0,0.0
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,0,0.0
5,0,0,0.0
6,0,0,0.0
7,0,0,0.0
8,0,0,0.0
9,0,0,0.0
10,92,92,0.0006713128316340961
11,0,0,0.0
12,0,0,0.0
13,0,0,0.0
14,0,0,0.0
15,0,0,0.0
16,0,0,0.0
17,50,50,0.00036484393023592177
18,0,0,0.0
19,0,0,0.0
20,0,0,0.0
21,0,0,0.0
22,0,0,0.0
23,0,0,0.0
24,0,0,0.0
25,0,0,0.0
26,0,0,0.0
27,0,0,0.0
28,0,0,0.0
29,35,35,0.00025539075116514526
30,0,0,0.0
31,0,0,0.0
32,0,0,0.0
33,0,0,0.0
34,0,0,0.0
35,0,0,0.0
36,0,0,0.0
37,0,0,0.0
38,0,0,0.0
39,0,0,0.0
40,0,0,0.0
41,0,0,0.0
42,0,0,0.0
43,0,0,0.0
44,0,0,0.0
45,0,0,0.0
46,0,0,0.0
47,0,0,0.0
48,0,0,0.0
49,91,91,0.0006640159530293776
50,0,0,0.0
51,0,0,0.0
52,0,0,0.0
53,0,0,0.0
54,0,0,0.0
55,0,0,0.0
56,0,0,0.0
57,0,0,0.0
58,0,0,0.0
59,0,0,0.0
60,0,0,0.0
61,0,0,0.0
62,0,0,0.0
63,0,0,0.0
64,0,0,0.0
65,0,0,0.0
66,0,0,0.0
67,0,0,0.0
68,0,0,0.0
69,0,0,0.0
70,0,0,0.0
71,0,0,0.0
72,44,44,0.00032106265860761115
73,0,0,0.0
74,0,0,0.0
75,0,0,0.0
76,0,0,0.0
77,0,0,0.0
78,0,0,0.0
79,0,0,0.0
80,0,0,0.0
81,0,0,0.0
82,0,0,0.0
83,0,0,0.0
84,0,0,0.0
85,0,0,0.0
86,0,0,0.0
87,0,0,0.0
88,0,0,0.0
89,0,0,0.0
90,0,0,0.0
91,0,0,0.0
92,0,0,0.0
93,0,0,0.0
94,0,0,0.0
95,0,0,0.0
96,0,0,0.0
97,0,0,0.0
98,0,0,0.0
99,0,0,0.0
100,0,0,0.0
101,0,0,0.0
102,0,0,0.0
103,0,0,0.0
104,0,0,0.0
105,0,0,0.0
106,0,0,0.0
107,0,0,0.0
108,0,0,0.0
109,0,0,0.0
110,0,0,0.0
111,0,0,0.0
112,0,0,0.0
113,0,0,0.0
114,0,0,0.0
115,0,0,0.0
116,0,0,0.0
117,0,0,0.0
118,64,64,0.0004670002307019799
119,0,0,0.0
120,0,0,0.0
121,0,0,0.0
122,0,0,0.0
123,0,0,0.0
124,0,0,0.0
125,0,0,0.0
126,0,0,0.0
127,35,35,0.00025539075116514526
128,0,0,0.0
129,0,0,0.0
130,0,0,0.0
131,0,0,0.0
132,0,0,0.0
133,0,0,0.0
134,101,101,0.000736984739076562
135,0,0,0.0
136,0,0,0.0
137,0,0,0.0
138,62,62,0.000452406473492543
139,0,0,0.0
140,0,0,0.0
141,0,0,0.0
142,0,0,0.0
143,40,40,0.0002918751441887374
144,0,0,0.0
145,0,0,0.0
146,0,0,0.0
147,71,71,0.000518078380935009
148,0,0,0.0
149,0,0,0.0
150,0,0,0.0
151,0,0,0.0
152,0,0,0.0
153,0,0,0.0
154,0,0,0.0
155,0,0,0.0
156,0,0,0.0
157,92,92,0.0006713128316340961
158,0,0,0.0
159,0,0,0.0
160,0,0,0.0
161,0,0,0.0
162,0,0,0.0
163,0,0,0.0
164,28,28,0.0002043126009321162
165,50,50,0.00036484393023592177
166,0,0,0.0
167,0,0,0.0
168,0,0,0.0
169,0,0,0.0
170,0,0,0.0
171,0,0,0.0
172,0,0,0.0
173,0,0,0.0
174,0,0,0.0
175,44,44,0.00032106265860761115
176,35,35,0.00025539075116514526
177,106,106,0.0007734691321001542
178,0,0,0.0
179,0,0,0.0
180,0,0,0.0
181,0,0,0.0
182,0,0,0.0
183,82,82,0.0005983440455869117
184,0,0,0.0
185,0,0,0.0
186,0,0,0.0
187,0,0,0.0
188,106,106,0.0007734691321001542
189,0,0,0.0
190,106,106,0.0007734691321001542
191,106,106,0.0007734691321001542
192,106,106,0.0007734691321001542
193,71,71,0.000518078380935009
194,34,34,0.0002480938725604268
195,50,50,0.00036484393023592177
196,107,107,0.0007807660107048727
197,180,180,0.0013134381488493184
198,140,140,0.001021563004660581
199,140,140,0.001021563004660581
200,136,136,0.0009923754902417072
201,358,358,0.0026122825404892
202,418,418,0.003050095256772306
203,381,381,0.002780110748397724
204,374,374,0.002729032598164695
205,429,429,0.003130360921424209
206,580,580,0.004232189590736693
207,393,393,0.002867673291654345
208,313,313,0.0022839230032768703
209,316,316,0.0023058136390910256
210,628,628,0.0045824397637631775
211,725,725,0.005290236988420866
212,850,850,0.006202346814010671
213,1376,1376,0.010040504960092567
214,1768,1768,0.012900881373142194
215,2396,2396,0.017483321136905372
216,2975,2975,0.021708213849037344
217,3961,3961,0.028902936153289725
218,4469,4469,0.03260975048448669
219,4790,4790,0.03495204851660131
220,5526,5526,0.04032255116967408
221,6132,6132,0.044744459604133445
222,6032,6032,0.044014771743661606
223,6087,6087,0.044416100066921115
224,6663,6663,0.04861910214323894
225,6816,6816,0.04973552456976086
226,6697,6697,0.04886719601579936
227,6698,6698,0.048874492894404084
228,6324,6324,0.046145460296239386
229,6138,6138,0.044788240875761755
230,6199,6199,0.04523335047064958
231,6212,6212,0.04532820989251092
232,6782,6782,0.04948743069720043
233,7070,7070,0.05158893173535934
234,7740,7740,0.056477840400520694
235,7899,7899,0.057638044098670925
236,8004,8004,0.05840421635216636
237,8229,8229,0.060046014038228006
238,8680,8680,0.06333690628895602
239,9305,9305,0.06789745541690505
240,9335,9335,0.0681163617750466
241,9988,9988,0.07288122350392774
242,10257,10257,0.07484408384859699
243,10678,10678,0.07791606974118345
244,11313,11313,0.08254958765517967
245,11870,11870,0.08661394903800783
246,12210,12210,0.0890948877636121
247,12734,12734,0.09291845215248457
248,12429,12429,0.09069290417804543
249,12961,12961,0.09457484359575564
250,12681,12681,0.09253171758643448
251,12563,12563,0.0916706859110777
252,12570,12570,0.09172176406131073
253,12728,12728,0.09287467088085626
254,12618,12618,0.09207201423433722
255,12510,12510,0.09128395134502763
256,12588,12588,0.09185310787619567
257,12528,12528,0.09141529515991256
258,13373,13373,0.09758115758089964
259,12780,12780,0.0932541085683016
260,12947,12947,0.09447268729528958
261,13122,13122,0.09574964105111532
262,13070,13070,0.09537020336366996
263,12705,12705,0.09270684267294772
264,13466,13466,0.09825976729113846
265,13053,13053,0.09524615642738975
266,13222,13222,0.09647932891158716
267,13559,13559,0.09893837700137727
268,14647,14647,0.10687738092331092
269,14552,14552,0.10618417745586267
270,14324,14324,0.10452048913398687
271,14837,14837,0.10826378785820744
272,15215,15215,0.111022007970791
273,15268,15268,0.11140874253684108
274,15633,15633,0.11407210322756331
275,16060,16060,0.11718787039177808
276,16341,16341,0.11923829327970396
277,16390,16390,0.11959584033133516
278,17263,17263,0.12596601535325436
279,18011,18011,0.13142408054958374
280,18439,18439,0.13454714459240324
281,19253,19253,0.14048680377664405
282,20280,20280,0.14798069810368988
283,21005,21005,0.15327093509211073
284,21823,21823,0.15923978179077042
285,21845,21845,0.15940031312007422
286,21754,21754,0.15873629716704485
287,21827,21827,0.1592689693051893
288,21123,21123,0.15413196676746752
289,20990,20990,0.15316148191303997
290,20995,20995,0.15319796630606355
291,21115,21115,0.15407359173862978
292,20452,20452,0.14923576122370144
293,20503,20503,0.1496079020325421
294,20607,20607,0.15036677740743282
295,23934,23934,0.17464349252533104
296,2560,2560,0.018680009228079195
297,17708,17708,0.12921312633235407
298,15365,15365,0.11211653976149877
299,14880,14880,0.10857755363821033
300,14532,14532,0.1060382398837683
301,13556,13556,0.09891648636556312
302,11279,11279,0.08230149378261924
303,9342,9342,0.06816743992527963
304,8447,8447,0.06163673357405663
305,8900,8900,0.06494221958199407
306,9667,9667,0.07053892547181312
307,9686,9686,0.07067756616530277
308,9759,9759,0.07121023830344721
309,9475,9475,0.06913792477970718
310,9197,9197,0.06710939252759546
311,9125,9125,0.06658401726805573
312,8632,8632,0.06298665611592953
313,8596,8596,0.06272396848615967
314,7316,7316,0.05338396387212008
315,6957,6957,0.050764384453026154
316,6784,6784,0.04950202445440987
317,6763,6763,0.04934879000371078
318,6192,6192,0.04518227232041656
319,6523,6523,0.04759753913857836
320,6569,6569,0.0479331955543954
321,6464,6464,0.04716702330089997
322,6202,6202,0.045255241106463735
323,6174,6174,0.04505092850553162
