steps,values,std_values,n_values
0,0,0,0.0
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,0,0.0
5,0,0,0.0
6,530,530,0.0026829498623178838
7,837,837,0.0042370359146416394
8,354,354,0.0017920080212462846
9,4860,4860,0.02460214402049984
10,5827,5827,0.02949726197684209
11,4058,4058,0.02054228404016221
12,3800,3800,0.019236244295864072
13,6177,6177,0.031269021319882205
14,3634,3634,0.018395924150307906
15,6045,6045,0.030600814939078503
16,4614,4614,0.02335685031082022
17,177,177,0.0008960040106231423
18,177,177,0.0008960040106231423
19,178,178,0.0009010661801746855
20,0,0,0.0
21,0,0,0.0
22,0,0,0.0
23,0,0,0.0
24,0,0,0.0
25,0,0,0.0
26,0,0,0.0
27,0,0,0.0
28,2746,2746,0.013900717588537564
29,1478,1478,0.007481886597180815
30,1910,1910,0.009668743843447469
31,2126,2126,0.010762172466580794
32,5414,5414,0.02740658595205476
33,1940,1940,0.009820608929993762
34,2746,2746,0.013900717588537564
35,1833,1833,0.009278956787978644
36,4087,4087,0.020689086957156964
37,3805,3805,0.019261555143621788
38,3514,3514,0.017788463804122724
39,2873,2873,0.014543613121583547
40,3842,3842,0.019448855417028885
41,4414,4414,0.02234441640051158
42,4851,4851,0.02455658449453595
43,2719,2719,0.013764039010645898
44,2740,2740,0.013870344571228304
45,5184,5184,0.02624228695519983
46,3328,3328,0.016846900267535693
47,2781,2781,0.014077893522841575
48,2413,2413,0.012215015127873687
49,3834,3834,0.01940835806061654
50,5366,5366,0.027163601813580688
51,3756,3756,0.019013508835596174
52,3866,3866,0.01957034748626592
53,2985,2985,0.015110576111356383
54,4222,4222,0.02137247984661529
55,3997,3997,0.020233491697518077
56,1939,1939,0.00981554676044222
57,3172,3172,0.016057201817494957
58,4178,4178,0.021149744386347393
59,4397,4397,0.02225835951813535
60,2884,2884,0.014599296986650523
61,1860,1860,0.009415635365870308
62,5115,5115,0.02589299725614335
63,3910,3910,0.01979308294653382
64,4958,4958,0.02509823663655107
65,2386,2386,0.01207833654998202
66,3174,3174,0.016067326156598043
67,5057,5057,0.025599391422153846
68,4744,4744,0.02401493235252083
69,2997,2997,0.015171322145974902
70,0,0,0.0
71,0,0,0.0
72,0,0,0.0
73,0,0,0.0
74,0,0,0.0
75,3738,3738,0.018922389783668395
76,2892,2892,0.014639794343062867
77,2892,2892,0.014639794343062867
78,2892,2892,0.014639794343062867
79,88032,88032,0.44563290996144894
80,454,454,0.0022982249764006025
81,89140,89140,0.4512417938245588
82,964,964,0.004879931447687623
83,964,964,0.004879931447687623
84,964,964,0.004879931447687623
85,964,964,0.004879931447687623
86,964,964,0.004879931447687623
87,964,964,0.004879931447687623
88,964,964,0.004879931447687623
89,964,964,0.004879931447687623
90,964,964,0.004879931447687623
91,964,964,0.004879931447687623
92,964,964,0.004879931447687623
93,964,964,0.004879931447687623
94,964,964,0.004879931447687623
95,964,964,0.004879931447687623
96,964,964,0.004879931447687623
97,964,964,0.004879931447687623
98,964,964,0.004879931447687623
99,1920,1920,0.0097193655389629
100,1414,1414,0.007157907745882052
101,2850,2850,0.014427183221898053
102,2805,2805,0.014199385592078612
103,2081,2081,0.01053437483676135
104,3405,3405,0.017236687323004516
105,2897,2897,0.014665105190820583
106,2983,2983,0.015100451772253297
107,2163,2163,0.010949472739987892
108,2209,2209,0.011182332539358878
109,2011,2011,0.010180022968153329
110,2251,2251,0.01139494366052369
111,1611,1611,0.008155155147536059
112,2056,2056,0.010407820597972772
113,2092,2092,0.010590058701828326
114,1861,1861,0.009420697535421851
115,1893,1893,0.009582686961071233
116,2263,2263,0.01145568969514221
117,1607,1607,0.008134906469329885
118,1766,1766,0.00893979142802525
119,2179,2179,0.011030467452812583
120,1933,1933,0.00978517374313296
121,1868,1868,0.009456132722282655
122,2117,2117,0.010716612940616906
123,2107,2107,0.010665991245101474
124,1579,1579,0.007993165721886675
125,2305,2305,0.011668300816307023
126,2045,2045,0.010352136732905796
127,2225,2225,0.01126332725218357
128,2123,2123,0.010746985957926164
129,2069,2069,0.010473628802142834
130,1784,1784,0.009030910479953028
131,1847,1847,0.009349827161700248
132,2164,2164,0.010954534909539435
133,1850,1850,0.009365013670354878
134,1999,1999,0.01011927693353481
135,2034,2034,0.010296452867838821
136,2187,2187,0.011070964809224927
137,1788,1788,0.0090511591581592
138,2002,2002,0.01013446344218944
139,2055,2055,0.010402758428421229
140,1985,1985,0.010048406559813206
141,2146,2146,0.010863415857611658
142,2038,2038,0.010316701546044995
143,2164,2164,0.010954534909539435
144,1652,1652,0.008362704099149328
145,2076,2076,0.010509063989003635
146,2122,2122,0.010741923788374621
147,1866,1866,0.009446008383179568
148,2057,2057,0.010412882767524315
149,1989,1989,0.01006865523801938
150,1573,1573,0.007962792704577417
151,1800,1800,0.00911190519277772
152,2202,2202,0.011146897352498075
153,1972,1972,0.009982598355643146
154,2202,2202,0.011146897352498075
155,2043,2043,0.01034201239380271
156,2066,2066,0.010458442293488203
157,1660,1660,0.008403201455561674
158,3069,3069,0.01553579835368601
159,2216,2216,0.01121776772621968
160,2414,2414,0.01222007729742523
161,2090,2090,0.01057993436272524
162,3614,3614,0.01829468075927704
163,2014,2014,0.010195209476807958
164,2100,2100,0.010630556058240672
165,3369,3369,0.017054449219148962
166,2968,2968,0.01502451922898015
167,3663,3663,0.01854272706730266
168,2416,2416,0.012230201636528316
169,3621,3621,0.018330115946137843
170,2253,2253,0.011405067999626777
171,3920,3920,0.019843704642049254
172,3088,3088,0.01563197957516533
173,1933,1933,0.00978517374313296
174,3079,3079,0.015586420049201442
175,2778,2778,0.014062707014186946
176,2938,2938,0.014872654142433854
177,2071,2071,0.01048375314124592
178,2683,2683,0.013581800906790344
179,3032,3032,0.015348498080278912
180,2756,2756,0.013951339284052995
181,3006,3006,0.01521688167193879
182,2094,2094,0.010600183040931412
183,1794,1794,0.009081532175468459
184,2227,2227,0.011273451591286655
185,1981,1981,0.010028157881607033
186,2212,2212,0.011197519048013508
187,2073,2073,0.010493877480349006
188,2111,2111,0.010686239923307646
189,1955,1955,0.00989654147326691
190,1554,1554,0.007866611483098097
191,2160,2160,0.010934286231333261
192,1838,1838,0.00930426763573636
193,1800,1800,0.00911190519277772
194,1944,1944,0.009840857608199936
195,2183,2183,0.011050716131018755
196,1872,1872,0.009476381400488827
197,2088,2088,0.010569810023622154
198,2078,2078,0.010519188328106721
199,1960,1960,0.009921852321024627
200,2155,2155,0.010908975383575546
201,2018,2018,0.01021545815501413
202,2149,2149,0.010878602366266288
203,1660,1660,0.008403201455561674
204,2190,2190,0.011086151317879557
205,2045,2045,0.010352136732905796
206,2140,2140,0.010833042840302398
207,1990,1990,0.010073717407570923
208,2051,2051,0.010382509750215057
209,2294,2294,0.011612616951240048
210,1635,1635,0.008276647216773094
211,2233,2233,0.011303824608595914
212,1940,1940,0.009820608929993762
213,1848,1848,0.009354889331251792
214,1866,1866,0.009446008383179568
215,2231,2231,0.011293700269492828
216,1660,1660,0.008403201455561674
217,2286,2286,0.011572119594827701
218,2055,2055,0.010402758428421229
219,2267,2267,0.011475938373348381
220,2019,2019,0.010220520324565673
221,2151,2151,0.010888726705369374
222,2094,2094,0.010600183040931412
223,1887,1887,0.009552313943761975
224,2129,2129,0.010777358975235423
225,2440,2440,0.012351693705765351
226,2131,2131,0.01078748331433851
227,2472,2472,0.012513683131414733
228,3311,3311,0.016760843385159457
229,2781,2781,0.014077893522841575
230,3023,3023,0.015302938554315023
231,3105,3105,0.015718036457541565
232,2028,2028,0.010266079850529563
233,3281,3281,0.016608978298613162
234,2752,2752,0.013931090605846823
235,3269,3269,0.016548232263994645
236,2774,2774,0.014042458335980773
237,2629,2629,0.013308443751007011
238,3699,3699,0.018724965171158212
239,2817,2817,0.014260131626697129
240,3004,3004,0.015206757332835703
241,2045,2045,0.010352136732905796
242,2968,2968,0.01502451922898015
243,2414,2414,0.01222007729742523
244,2823,2823,0.014290504644006389
245,3661,3661,0.018532602728199572
246,6248,6248,0.031628435358041766
247,8768,8768,0.04438510262793058
248,9558,9558,0.048384216573649684
249,8370,8370,0.04237035914641639
250,5854,5854,0.029633940554733756
251,3872,3872,0.01960072050357518
252,2799,2799,0.014169012574769352
253,2156,2156,0.010914037553127089
254,2701,2701,0.013672919958718121
255,3015,3015,0.015262441197902678
256,2256,2256,0.011420254508281408
257,2651,2651,0.013419811481140962
258,3534,3534,0.017889707195153585
259,3771,3771,0.01908944137886932
260,5324,5324,0.026950990692415872
