steps,values,std_values,n_values
0,122400,122400,0.04022817436243775
1,122400,122400,0.04022817436243775
2,122400,122400,0.04022817436243775
3,122400,122400,0.04022817436243775
4,122400,122400,0.04022817436243775
5,122400,122400,0.04022817436243775
6,121400,121400,0.03989951280718908
7,121707,121707,0.04000041190465042
8,121734,121734,0.04000928576664213
9,115530,115530,0.037970269477879355
10,115987,115987,0.038120467808628
11,117023,117023,0.038460961179865624
12,114215,114215,0.03753807953272735
13,116847,116847,0.03840311674614186
14,117109,117109,0.03848922607361701
15,115440,115440,0.037940689937906974
16,114774,114774,0.03772180134211136
17,122067,122067,0.04011873006453994
18,122067,122067,0.04011873006453994
19,122068,122068,0.04011905872609519
20,122400,122400,0.04022817436243775
21,122400,122400,0.04022817436243775
22,122400,122400,0.04022817436243775
23,122400,122400,0.04022817436243775
24,122400,122400,0.04022817436243775
25,122400,122400,0.04022817436243775
26,122400,122400,0.04022817436243775
27,122400,122400,0.04022817436243775
28,120556,120556,0.03962212245455919
29,119288,119288,0.03920537960250387
30,119210,119210,0.03917974400119448
31,115346,115346,0.0379097957517136
32,118124,118124,0.03882281755219442
33,119240,119240,0.03918960384785194
34,121576,121576,0.039957357240912844
35,122193,122193,0.040160141420501276
36,118327,118327,0.0388895358479099
37,115750,115750,0.03804257502003407
38,118009,118009,0.03878502147334082
39,118643,118643,0.03899339289936848
40,118082,118082,0.03880901376687397
41,115849,115849,0.03807511251400368
42,117816,117816,0.03872158979317782
43,121294,121294,0.039864674682332714
44,119530,119530,0.03928491569887405
45,116364,116364,0.03824437321495675
46,116548,116548,0.03830484694112251
47,119061,119061,0.039130773429462425
48,119203,119203,0.039177443370307735
49,117564,117564,0.03863876708125516
50,116036,116036,0.038136572224835186
51,117996,117996,0.038780748873122585
52,121166,121166,0.03982260600326089
53,118755,118755,0.039030202993556334
54,115912,115912,0.03809581819198435
55,117217,117217,0.03852472152158387
56,119239,119239,0.03918927518629669
57,118942,118942,0.03909166270438783
58,116888,116888,0.038416591869907056
59,116087,116087,0.038153333964152866
60,119164,119164,0.03916462556965304
61,121200,121200,0.03983378049613934
62,117825,117825,0.03872454774717506
63,114070,114070,0.03749042360721629
64,116648,116648,0.03833771309664737
65,118666,118666,0.0390009521151392
66,117924,117924,0.038757085241144684
67,115727,115727,0.03803501580426334
68,114904,114904,0.03776452734429368
69,119277,119277,0.03920176432539614
70,122400,122400,0.04022817436243775
71,122400,122400,0.04022817436243775
72,122400,122400,0.04022817436243775
73,122400,122400,0.04022817436243775
74,122400,122400,0.04022817436243775
75,121548,121548,0.03994815471736588
76,120702,120702,0.0396701070416255
77,120702,120702,0.0396701070416255
78,120702,120702,0.0396701070416255
79,115572,115572,0.0379840732631998
80,27994,27994,0.009200551577631392
81,116680,116680,0.03834823026641533
82,121834,121834,0.040042151922167
83,121834,121834,0.040042151922167
84,121834,121834,0.040042151922167
85,121834,121834,0.040042151922167
86,121834,121834,0.040042151922167
87,121834,121834,0.040042151922167
88,121834,121834,0.040042151922167
89,121834,121834,0.040042151922167
90,121834,121834,0.040042151922167
91,121834,121834,0.040042151922167
92,121834,121834,0.040042151922167
93,121834,121834,0.040042151922167
94,121834,121834,0.040042151922167
95,121834,121834,0.040042151922167
96,121834,121834,0.040042151922167
97,121834,121834,0.040042151922167
98,121834,121834,0.040042151922167
99,121770,121770,0.040021117582631084
100,120244,120244,0.03951958004932161
101,120405,120405,0.03957249455971664
102,120615,120615,0.03964151348631886
103,119636,119636,0.039319753823730416
104,120705,120705,0.039671093026291245
105,119687,119687,0.0393365155630481
106,119773,119773,0.03936478045679948
107,120993,120993,0.03976574755420286
108,121294,121294,0.039864674682332714
