steps,values,std_values,n_values
0,0,0,0.0
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,0,0.0
5,0,0,0.0
6,0,0,0.0
7,0,0,0.0
8,0,0,0.0
9,0,0,0.0
10,530,530,0.0069535382160225995
11,837,837,0.010981342427945124
12,354,354,0.004644438732966038
13,4860,4860,0.0637626334525846
14,5827,5827,0.07644956072596923
15,4058,4058,0.05324048694456549
16,3800,3800,0.04985555702053939
17,6177,6177,0.08104151992522943
18,3634,3634,0.04767765637174741
19,6045,6045,0.07930969531293701
20,4614,4614,0.06053514212967599
21,177,177,0.002322219366483019
22,177,177,0.002322219366483019
23,178,178,0.002335339249909477
24,0,0,0.0
25,0,0,0.0
26,0,0,0.0
27,0,0,0.0
28,0,0,0.0
29,0,0,0.0
30,0,0,0.0
31,0,0,0.0
32,8604,8604,0.11288347700124235
33,4050,4050,0.053135527877153824
34,11421,11421,0.1498421886135738
35,3411,3411,0.044751922367647336
36,3960,3960,0.05195473836877263
37,7353,7353,0.09647050283474373
38,8172,8172,0.10721568736101261
39,8991,8991,0.1179608718872815
40,0,0,0.0
41,1404,1404,0.01842031633074666
42,1935,1935,0.02538697443019572
43,0,0,0.0
44,0,0,0.0
45,6491,6491,0.08516116332113716
46,6436,6436,0.08443956973268198
47,3588,3588,0.047074141734130354
48,3519,3519,0.04616886977770477
49,7605,7605,0.09977671345821107
50,5675,5675,0.07445533844514765
51,5369,5369,0.07044065411665158
52,0,0,0.0
53,5096,5096,0.06685892594122862
54,5305,5305,0.06960098157735828
55,7144,7144,0.09372844719861406
56,5070,5070,0.06651780897214071
57,6927,6927,0.09088143249507273
58,7533,7533,0.09883208185150612
59,6507,6507,0.08537108145596048
60,7981,7981,0.10470978962655918
61,0,0,0.0
62,7098,7098,0.093124932560997
63,5746,5746,0.07538685016842614
64,6926,6926,0.09086831261164627
65,4860,4860,0.0637626334525846
66,4690,4690,0.061532253270086774
67,9290,9290,0.12188371703179236
68,6794,6794,0.08913648799935385
69,7784,7784,0.102125172591547
70,0,0,0.0
71,0,0,0.0
72,0,0,0.0
73,0,0,0.0
74,0,0,0.0
75,5607,5607,0.07356318637214852
76,0,0,0.0
77,0,0,0.0
78,0,0,0.0
79,5526,5526,0.07250047581460545
80,454,454,0.005956427075611811
81,934,934,0.012253971120311525
82,0,0,0.0
83,0,0,0.0
84,0,0,0.0
85,0,0,0.0
86,0,0,0.0
87,0,0,0.0
88,0,0,0.0
89,0,0,0.0
90,0,0,0.0
91,0,0,0.0
92,0,0,0.0
93,0,0,0.0
94,0,0,0.0
95,0,0,0.0
96,0,0,0.0
97,0,0,0.0
98,0,0,0.0
99,956,956,0.012542608555693596
100,450,450,0.005903947541905981
101,1886,1886,0.02474410014229929
102,1359,1359,0.017829921576556062
103,1358,1358,0.017816801693129602
104,1959,1959,0.025701851632430703
105,1933,1933,0.0253607346633428
106,2019,2019,0.026489044638018166
107,1199,1199,0.015730740228322826
108,1245,1245,0.016334254865939882
109,1047,1047,0.013736517947501248
110,1287,1287,0.016885289969851103
111,647,647,0.008488564576918154
112,1092,1092,0.014326912701691846
113,1128,1128,0.014799228505044325
114,897,897,0.011768535433532588
115,929,929,0.012188371703179235
116,1299,1299,0.0170427285709686
117,643,643,0.008436085043212324
118,802,802,0.010522146508019104
119,1215,1215,0.01594065836314615
120,969,969,0.012713167040237545
121,904,904,0.011860374617517792
122,1153,1153,0.015127225590705768
123,1143,1143,0.014996026756441192
124,615,615,0.008068728307271508
125,1341,1341,0.017593763674879824
126,1081,1081,0.014182593984000812
127,1261,1261,0.016544173000763204
128,1159,1159,0.015205944891264514
129,1105,1105,0.014497471186235797
130,820,820,0.010758304409695343
131,883,883,0.01158485706556218
132,1200,1200,0.015743860111749282
133,886,886,0.011624216715841552
134,1035,1035,0.013579079346383756
135,1070,1070,0.014038275266309776
136,1223,1223,0.01604561743055781
137,824,824,0.010810783943401174
138,1038,1038,0.013618438996663129
139,1091,1091,0.014313792818265388
140,1021,1021,0.013395400978413347
141,1182,1182,0.015507702210073042
142,1074,1074,0.014090754800015608
143,1200,1200,0.015743860111749282
144,688,688,0.009026479797402922
145,1112,1112,0.014589310370221
146,1158,1158,0.015192825007838057
147,902,902,0.011834134850664877
148,1093,1093,0.014340032585118304
149,1025,1025,0.01344788051211918
150,609,609,0.00799000900671276
151,836,836,0.010968222544518666
152,1238,1238,0.016242415681954676
153,1008,1008,0.013224842493869397
154,1238,1238,0.016242415681954676
155,1079,1079,0.014156354217147896
156,1102,1102,0.014458111535956424
157,696,696,0.009131438864814583
158,2105,2105,0.02761735461269353
159,1252,1252,0.016426094049925084
160,1450,1450,0.019023830968363714
161,1126,1126,0.01477298873819141
162,2650,2650,0.034767691080112996
163,1050,1050,0.013775877597780622
164,1136,1136,0.014904187572455986
165,2405,2405,0.03155331964063085
166,2004,2004,0.026292246386621303
167,2699,2699,0.035410565368009427
168,1452,1452,0.019050070735216633
169,2175,2175,0.028535746452545575
170,1289,1289,0.01691152973670402
171,2474,2474,0.032458591597056434
172,2124,2124,0.02786663239779623
173,969,969,0.012713167040237545
174,2115,2115,0.027748553446958108
175,1814,1814,0.02379946853559433
176,1974,1974,0.02589864988382757
177,1107,1107,0.014523710953088713
178,1719,1719,0.022553079610080847
179,2068,2068,0.027131918925914596
180,1792,1792,0.02351083110021226
181,2042,2042,0.026790801956826694
182,1130,1130,0.01482546827189724
183,830,830,0.01088950324395992
184,1263,1263,0.01657041276761612
185,1017,1017,0.013342921444707516
186,1248,1248,0.016373614516219253
187,1109,1109,0.014549950719941628
188,1147,1147,0.015048506290147022
189,991,991,0.013001804475619615
190,590,590,0.0077407312216100635
191,1196,1196,0.01569138057804345
192,874,874,0.01146677811472406
193,836,836,0.010968222544518666
194,980,980,0.012857485757928581
195,1219,1219,0.01599313789685198
196,908,908,0.011912854151223623
197,1124,1124,0.014746748971338495
198,1114,1114,0.014615550137073916
199,996,996,0.013067403892751904
200,1191,1191,0.01562578116091116
201,1054,1054,0.013828357131486453
202,1185,1185,0.015547061860352415
203,696,696,0.009131438864814583
204,1226,1226,0.016084977080837184
205,1081,1081,0.014182593984000812
206,1176,1176,0.015428982909514296
207,1026,1026,0.013461000395545637
208,1087,1087,0.014261313284559558
209,1330,1330,0.017449444957188788
210,671,671,0.00880344177915314
211,1269,1269,0.016649132068174866
212,976,976,0.012805006224222749
213,884,884,0.011597976948988637
214,902,902,0.011834134850664877
215,1267,1267,0.01662289230132195
216,696,696,0.009131438864814583
217,1322,1322,0.017344485889777127
218,1091,1091,0.014313792818265388
219,1303,1303,0.01709520810467443
220,1055,1055,0.01384147701491291
221,1187,1187,0.015573301627205332
222,1130,1130,0.01482546827189724
223,923,923,0.01210965240262049
224,1165,1165,0.015284664191823262
225,1476,1476,0.019364947937451617
226,1167,1167,0.015310903958676177
227,1508,1508,0.019784784207098265
228,2347,2347,0.030792366401896303
229,1817,1817,0.023838828185873705
230,2059,2059,0.027013839975076476
231,2141,2141,0.02808967041604601
232,1064,1064,0.01395955596575103
233,2317,2317,0.030398769899102573
234,1788,1788,0.02345835156650643
235,2305,2305,0.03024133129798508
236,1328,1328,0.017423205190335873
237,1906,1906,0.02500649781082844
238,2253,2253,0.029559097359809276
239,1853,1853,0.024311143989226184
240,2040,2040,0.02676456218997378
241,1081,1081,0.014182593984000812
242,2004,2004,0.026292246386621303
243,1450,1450,0.019023830968363714
244,1859,1859,0.02438986328978493
245,2697,2697,0.035384325601156515
246,5284,5284,0.06932546402540267
247,7804,7804,0.10238757026007617
248,8594,8594,0.11275227816697778
249,7406,7406,0.09716585665634599
250,4890,4890,0.06415622995537833
251,2908,2908,0.038152621004139096
252,1835,1835,0.024074986087549943
253,1192,1192,0.01563890104433762
254,1737,1737,0.022789237511757085
255,2051,2051,0.026908880907664814
256,1292,1292,0.016950889386983393
257,1687,1687,0.0221332433404342
258,2570,2570,0.033718100405996376
259,2807,2807,0.03682751277806686
260,4360,4360,0.05720269173935572
261,4127,4127,0.054145758900991076
262,4118,4118,0.05402767995015295
263,3562,3562,0.04673302476504245
264,3035,3035,0.03981884619929923
265,4289,4289,0.05627118001607723
266,4225,4225,0.05543150747678393
267,3659,3659,0.04800565345740885
268,3208,3208,0.042088586032076415
269,1082,1082,0.01419571386742727
270,1231,1231,0.01615057649796947
271,731,731,0.009590634784740605
272,618,618,0.00810808795755088
273,803,803,0.010535266391445561
274,2156,2156,0.028286468667442877
275,1490,1490,0.019548626305422024
